x,speciesCBRO2021
"Aves Chordata Aves Struthioniformes Rheidae Rhea americana (Linnaeus, 1758) Ema","Rhea americana (Linnaeus, 1758)"
"Aves Chordata Aves Tinamiformes Tinamidae Tinamus solitarius (Vieillot, 1819) Macuco","Tinamus solitarius (Vieillot, 1819)"
"Aves Chordata Aves Tinamiformes Tinamidae Crypturellus undulatus (Temminck, 1815) Jaó","Crypturellus undulatus (Temminck, 1815)"
"Aves Chordata Aves Tinamiformes Tinamidae Crypturellus noctivagus (Wied, 1820) jaó-do-sul","Crypturellus noctivagus (Wied, 1820)"
"Aves Chordata Aves Tinamiformes Tinamidae Rhynchotus rufescens (Temminck, 1815) Perdiz","Rhynchotus rufescens (Temminck, 1815)"
"Aves Chordata Aves Tinamiformes Tinamidae Nothura minor (Spix, 1825) codorna-mineira","Nothura minor (Spix, 1825)"
"Aves Chordata Aves Tinamiformes Tinamidae Taoniscus nanus (Temminck, 1815) inhambu-carapé","Taoniscus nanus (Temminck, 1815)"
"Aves Chordata Aves Anseriformes Anhimidae Anhima cornuta (Linnaeus, 1766) Anhuma","Anhima cornuta (Linnaeus, 1766)"
"Aves Chordata Aves Anseriformes Anatidae Neochen jubata (Spix, 1825) pato-corredor","Neochen jubata (Spix, 1825)"
"Aves Chordata Aves Anseriformes Anatidae Sarkidiornis sylvicola Ihering & Ihering, 1907 pato-de-crista","Sarkidiornis sylvicola Ihering & Ihering, 1907"
"Aves Chordata Aves Anseriformes Anatidae Mergus octosetaceus Vieillot, 1817 pato-mergulhão","Mergus octosetaceus Vieillot, 1817"
"Aves Chordata Aves Galliformes Cracidae Ortalis guttata (Spix, 1825) Aracuã","Ortalis guttata (Spix, 1825)"
"Aves Chordata Aves Galliformes Cracidae Aburria jacutinga (Spix, 1825) Jacutinga","Aburria jacutinga (Spix, 1825)"
"Aves Chordata Aves Galliformes Cracidae Crax fasciolata Spix, 1825 mutum-de-penacho","Crax fasciolata Spix, 1825"
"Aves Chordata Aves Procellariiformes Diomedeidae Thalassarche chlororhynchos (Gmelin, 1789) albatroz-de-nariz-amarelo","Thalassarche chlororhynchos (Gmelin, 1789)"
"Aves Chordata Aves Procellariiformes Diomedeidae Thalassarche melanophris (Temminck, 1828) albatroz-de-sobrancelha","Thalassarche melanophris (Temminck, 1828)"
"Aves Chordata Aves Procellariiformes Diomedeidae Diomedea exulans Linnaeus, 1758 albatroz-gigante","Diomedea exulans Linnaeus, 1758"
"Aves Chordata Aves Procellariiformes Diomedeidae Diomedea dabbenena Mathews, 1929 albatroz-de-tristão","Diomedea dabbenena Mathews, 1929"
"Aves Chordata Aves Procellariiformes Procellariidae Procellaria aequinoctialis Linnaeus, 1758 pardela-preta","Procellaria aequinoctialis Linnaeus, 1758"
"Aves Chordata Aves Procellariiformes Procellariidae Procellaria conspicillata Gould, 1844 pardela-de-óculos","Procellaria conspicillata Gould, 1844"
"Aves Chordata Aves Ciconiiformes Ciconiidae Ciconia maguari (Gmelin, 1789) Maguari","Ciconia maguari (Gmelin, 1789)"
"Aves Chordata Aves Ciconiiformes Ciconiidae Jabiru mycteria (Lichtenstein, 1819) Tuiuiú","Jabiru mycteria (Lichtenstein, 1819)"
"Aves Chordata Aves Pelecaniformes Ardeidae Tigrisoma fasciatum (Such, 1825) socó-boi-escuro","Tigrisoma fasciatum (Such, 1825)"
"Aves Chordata Aves Pelecaniformes Ardeidae Cochlearius cochlearius (Linnaeus, 1766) Arapapá","Cochlearius cochlearius (Linnaeus, 1766)"
"Aves Chordata Aves Pelecaniformes Ardeidae Nyctanassa violacea (Linnaeus, 1758) savacu-de-coroa","Nyctanassa violacea (Linnaeus, 1758)"
"Aves Chordata Aves Pelecaniformes Threskiornithidae Eudocimus ruber (Linnaeus, 1758) Guará","Eudocimus ruber (Linnaeus, 1758)"
"Aves Chordata Aves Cathartiformes Cathartidae Sarcoramphus papa (Linnaeus, 1758) urubu-rei","Sarcoramphus papa (Linnaeus, 1758)"
"Aves Chordata Aves Accipitriformes Accipitridae Circus buffoni (Gmelin, 1788) gavião-do-banhado","Circus buffoni (Gmelin, 1788)"
"Aves Chordata Aves Accipitriformes Accipitridae Busarellus nigricollis (Latham, 1790) Gavião-belo","Busarellus nigricollis (Latham, 1790)"
"Aves Chordata Aves Accipitriformes Accipitridae Buteogallus aequinoctialis (Gmelin, 1788) Caranguejeiro","Buteogallus aequinoctialis (Gmelin, 1788)"
"Aves Chordata Aves Accipitriformes Accipitridae Amadonastur lacernulatus (Temminck, 1827) Gavião-pombo-pequeno","Amadonastur lacernulatus (Temminck, 1827)"
"Aves Chordata Aves Accipitriformes Accipitridae Urubitinga coronata (Vieillot, 1817) Águia-cinzenta","Urubitinga coronata (Vieillot, 1817)"
"Aves Chordata Aves Accipitriformes Accipitridae Parabuteo unicinctus (Temminck, 1824) Gavião-asa-de-telha","Parabuteo unicinctus (Temminck, 1824)"
"Aves Chordata Aves Accipitriformes Accipitridae Pseudastur polionotus (Kaup, 1847) gavião-pombo-grande","Pseudastur polionotus (Kaup, 1847)"
"Aves Chordata Aves Accipitriformes Accipitridae Morphnus guianensis (Daudin, 1800) uiraçu-falso","Morphnus guianensis (Daudin, 1800)"
"Aves Chordata Aves Accipitriformes Accipitridae Harpia harpyja (Linnaeus, 1758) gavião-real","Harpia harpyja (Linnaeus, 1758)"
"Aves Chordata Aves Accipitriformes Accipitridae Spizaetus tyrannus (Wied, 1820) gavião-pega-macaco","Spizaetus tyrannus (Wied, 1820)"
"Aves Chordata Aves Accipitriformes Accipitridae Spizaetus melanoleucus (Vieillot, 1816) gavião-pato","Spizaetus melanoleucus (Vieillot, 1816)"
"Aves Chordata Aves Accipitriformes Accipitridae Spizaetus ornatus (Daudin, 1800) gavião-de-penacho","Spizaetus ornatus (Daudin, 1800)"
"Aves Chordata Aves Accipitriformes Falconidae Ibycter americanus (Boddaert, 1783) Gralhão","Ibycter americanus (Boddaert, 1783)"
"Aves Chordata Aves Accipitriformes Falconidae Falco rufigularis Daudin, 1800 Cauré","Falco rufigularis Daudin, 1800"
"Aves Chordata Aves Gruiformes Rallidae Coturnicops notatus (Gould, 1841) pinto-d’água-carijó","Coturnicops notatus (Gould, 1841)"
"Aves Chordata Aves Gruiformes Rallidae Micropygia schomburgkii (Schomburgk, 1848) Maxalalagá","Micropygia schomburgkii (Schomburgk, 1848)"
"Aves Chordata Aves Gruiformes Rallidae Rallus longirostris Boddaert, 1783 saracura-matraca","Rallus longirostris Boddaert, 1783"
"Aves Chordata Aves Gruiformes Rallidae Aramides mangle (Spix, 1825) saracura-do-mangue","Aramides mangle (Spix, 1825)"
"Aves Chordata Aves Gruiformes Rallidae Laterallus xenopterus Conover, 1934 sanã-de-cara-ruiva","Laterallus xenopterus Conover, 1934"
"Aves Chordata Aves Gruiformes Rallidae Gallinula melanops (Vieillot, 1819) frango-d’água-carijó","Porphyriops melanops (Vieillot, 1819)"
"Aves Chordata Aves Gruiformes Heliornithidae Heliornis fulica (Boddaert, 1783) Picaparra","Heliornis fulica (Boddaert, 1783)"
"Aves Chordata Aves Charadriiformes Charadriidae Vanellus cayanus (Latham, 1790) batuíra-de-esporão","Vanellus cayanus (Latham, 1790)"
"Aves Chordata Aves Charadriiformes Haematopodidae Haematopus palliatus Temminck, 1820 piru-piru","Haematopus palliatus Temminck, 1820"
"Aves Chordata Aves Charadriiformes Scolopacidae Numenius borealis (Forster, 1772) maçarico-esquimó","Numenius borealis (Forster, 1772)"
"Aves Chordata Aves Charadriiformes Sternidae Sternula superciliaris (Vieillot, 1819) trinta-réis-anão","Sternula superciliaris (Vieillot, 1819)"
"Aves Chordata Aves Charadriiformes Sternidae Phaetusa simplex (Gmelin, 1789) trinta-réis-grande","Phaetusa simplex (Gmelin, 1789)"
"Aves Chordata Aves Charadriiformes Sternidae Thalasseus acuflavidus (Cabot, 1847) trinta-réis-de-bando","Thalasseus acuflavidus (Cabot, 1847)"
"Aves Chordata Aves Charadriiformes Sternidae Thalasseus maximus (Boddaert, 1783) trinta-réis-real","Thalasseus maximus (Boddaert, 1783)"
"Aves Chordata Aves Columbiformes Columbidae Columbina minuta (Linnaeus, 1766) rolinha-de-asa-canela","Columbina minuta (Linnaeus, 1766)"
"Aves Chordata Aves Columbiformes Columbidae Columbina cyanopis (Pelzeln, 1870) rolinha-do-planalto","Columbina cyanopis (Pelzeln, 1870)"
"Aves Chordata Aves Columbiformes Columbidae Claravis geoffroyi (Temminck, 1811) pararu-espelho","Paraclaravis geoffroyi (Temminck, 1811)"
"Aves Chordata Aves Columbiformes Columbidae Patagioenas speciosa (Gmelin, 1789) pomba-trocal","Patagioenas speciosa (Gmelin, 1789)"
"Aves Chordata Aves Columbiformes Columbidae Geotrygon violacea (Temminck, 1809) juriti-vermelha","Geotrygon violacea (Temminck, 1809)"
"Aves Chordata Aves Psittaciformes Psittacidae Ara ararauna (Linnaeus, 1758) arara-canindé","Ara ararauna (Linnaeus, 1758)"
"Aves Chordata Aves Psittaciformes Psittacidae Ara chloropterus Gray, 1859 arara-vermelha-grande","Ara chloropterus Gray, 1859"
"Aves Chordata Aves Psittaciformes Psittacidae Orthopsittaca manilata (Boddaert, 1783) maracanã-do-buriti","Orthopsittaca manilatus (Boddaert, 1783)"
"Aves Chordata Aves Psittaciformes Psittacidae Primolius maracana (Vieillot, 1816) maracanã-verdadeira","Primolius maracana (Vieillot, 1816)"
"Aves Chordata Aves Psittaciformes Psittacidae Diopsittaca nobilis longipennis (Neumann, 1931) maracanã-pequena","Diopsittaca nobilis longipennis Neumann, 1931"
"Aves Chordata Aves Psittaciformes Psittacidae Touit melanonotus (Wied, 1820) apuim-de-costas-pretas","Touit melanonotus (Wied, 1820)"
"Aves Chordata Aves Psittaciformes Psittacidae Alipiopsitta xanthops (Spix, 1824) papagaio-galego","Alipiopsitta xanthops (Spix, 1824)"
"Aves Chordata Aves Psittaciformes Psittacidae Amazona vinacea (Kuhl, 1820) papagaio-de-peito-roxo","Amazona vinacea (Kuhl, 1820)"
"Aves Chordata Aves Psittaciformes Psittacidae Amazona farinosa (Boddaert, 1783) papagaio-moleiro","Amazona farinosa (Boddaert, 1783)"
"Aves Chordata Aves Psittaciformes Psittacidae Amazona brasiliensis (Linnaeus, 1758) papagaio-de-cara-roxa","Amazona brasiliensis (Linnaeus, 1758)"
"Aves Chordata Aves Psittaciformes Psittacidae Amazona amazonica (Linnaeus, 1766) Curica","Amazona amazonica (Linnaeus, 1766)"
"Aves Chordata Aves Psittaciformes Psittacidae Triclaria malachitacea (Spix, 1824) sabiá-cica","Triclaria malachitacea (Spix, 1824)"
"Aves Chordata Aves Cuculiformes Cuculidae Crotophaga major Gmelin, 1788 anu-coroca","Crotophaga major Gmelin, 1788"
"Aves Chordata Aves Cuculiformes Cuculidae Dromococcyx phasianellus (Spix, 1824) peixe-frito-verdadeiro","Dromococcyx phasianellus (Spix, 1824)"
"Aves Chordata Aves Strigiformes Strigidae Bubo virginianus (Gmelin, 1788) Jacurutu","Bubo virginianus (Gmelin, 1788)"
"Aves Chordata Aves Caprimulgiformes Nyctibiidae Nyctibius grandis (Gmelin, 1789) mãe-da-lua-gigante","Nyctibius grandis (Gmelin, 1789)"
"Aves Chordata Aves Caprimulgiformes Nyctibiidae Nyctibius aethereus (Wied, 1820) mãe-da-lua-parda","Nyctibius aethereus (Wied, 1820)"
"Aves Chordata Aves Caprimulgiformes Caprimulgidae Antrostomus sericocaudatus Cassin, 1849 bacurau-rabo-de-seda","Antrostomus sericocaudatus Cassin, 1849"
"Aves Chordata Aves Caprimulgiformes Caprimulgidae Hydropsalis anomala (Gould, 1838) curiango-do-banhado","Hydropsalis anomala (Gould, 1838)"
"Aves Chordata Aves Caprimulgiformes Caprimulgidae Hydropsalis candicans (Pelzeln, 1867) bacurau-de-rabo-branco","Hydropsalis candicans (Pelzeln, 1867)"
"Aves Chordata Aves Caprimulgiformes Caprimulgidae Hydropsalis maculicauda (Lawrence, 1862) bacurau-de-rabo-maculado","Hydropsalis maculicaudus (Lawrence, 1862)"
"Aves Chordata Aves Apodiformes Apodidae Tachornis squamata (Cassin, 1853) andorinhão-do-buriti","Tachornis squamata (Cassin, 1853)"
"Aves Chordata Aves Apodiformes Trochilidae Lophornis magnificus (Vieillot, 1817) topetinho-vermelho","Lophornis magnificus (Vieillot, 1817)"
"Aves Chordata Aves Apodiformes Trochilidae Thalurania furcata (Gmelin, 1788) beija-flor-tesoura-verde","Thalurania furcata (Gmelin, 1788)"
"Aves Chordata Aves Apodiformes Trochilidae Hylocharis sapphirina (Gmelin, 1788) beija-flor-safira","Hylocharis sapphirina (Gmelin, 1788)"
"Aves Chordata Aves Apodiformes Trochilidae Polytmus guainumbi (Pallas, 1764) beija-flor-de-bico-curvo","Polytmus guainumbi (Pallas, 1764)"
"Aves Chordata Aves Apodiformes Trochilidae Heliactin bilophus (Temminck, 1820) chifre-de-ouro","Heliactin bilophus (Temminck, 1820)"
"Aves Chordata Aves Coraciiformes Momotidae Momotus momota (Linnaeus, 1766) udu-de-coroa-azul","Momotus momota (Linnaeus, 1766)"
"Aves Chordata Aves Galbuliformes Galbulidae Brachygalba lugubris (Swainson, 1838) ariramba-preta","Brachygalba lugubris (Swainson, 1838)"
"Aves Chordata Aves Galbuliformes Galbulidae Jacamaralcyon tridactyla (Vieillot, 1817) Cuitelão","Jacamaralcyon tridactyla (Vieillot, 1817)"
"Aves Chordata Aves Galbuliformes Bucconidae Nonnula rubecula (Spix, 1824) Macuru","Nonnula rubecula (Spix, 1824)"
"Aves Chordata Aves Galbuliformes Bucconidae Monasa nigrifrons (Spix, 1824) chora-chuva-preto","Monasa nigrifrons (Spix, 1824)"
"Aves Chordata Aves Galbuliformes Bucconidae Chelidoptera tenebrosa (Pallas, 1782) Urubuzinho","Chelidoptera tenebrosa (Pallas, 1782)"
"Aves Chordata Aves Piciformes Ramphastidae Ramphastos vitellinus pintoi Peters, 1945 tucano-de-peito-branco","Ramphastos vitellinus Lichtenstein, 1823"
"Aves Chordata Aves Piciformes Ramphastidae Selenidera maculirostris (Lichtenstein, 1823) araçari-poca","Selenidera maculirostris (Lichtenstein, 1823)"
"Aves Chordata Aves Piciformes Ramphastidae Pteroglossus bailloni (Vieillot, 1819) araçari-banana","Pteroglossus bailloni (Vieillot, 1819)"
"Aves Chordata Aves Piciformes Ramphastidae Pteroglossus aracari (Linnaeus, 1758) araçari-de-bico-branco","Pteroglossus aracari (Linnaeus, 1758)"
"Aves Chordata Aves Piciformes Ramphastidae Pteroglossus castanotis Gould, 1834 araçari-castanho","Pteroglossus castanotis Gould, 1834"
"Aves Chordata Aves Piciformes Picidae Veniliornis mixtus (Boddaert, 1783) pica-pau-chorão","Veniliornis mixtus (Boddaert, 1783)"
"Aves Chordata Aves Piciformes Picidae Dryocopus galeatus (Temminck, 1822) pica-pau-de-cara-canela","Celeus galeatus (Temminck, 1822)"
"Aves Chordata Aves Passeriformes Thamnophilidae Myrmotherula minor Salvadori, 1864 choquinha-pequena","Myrmotherula minor Salvadori, 1864"
"Aves Chordata Aves Passeriformes Thamnophilidae Myrmotherula unicolor (Ménétriès, 1835) choquinha-cinzenta","Myrmotherula unicolor (Ménétries, 1835)"
"Aves Chordata Aves Passeriformes Thamnophilidae Formicivora melanogaster Pelzeln, 1868 formigueiro-de-barriga-preta","Formicivora melanogaster Pelzeln, 1868"
"Aves Chordata Aves Passeriformes Thamnophilidae Formicivora paludicola Buzetti, Belmote-Lopes,Reinert, Silveira e Bornschein, 2013 bicudinho-do-brejo-paulista","Formicivora paludicola Buzzetti, Belmonte-Lopes, Reinert, Silveira & Bornschein, 2014"
"Aves Chordata Aves Passeriformes Thamnophilidae Herpsilochmus longirostris Pelzeln, 1868 chorozinho-de-bico-comprido","Herpsilochmus longirostris Pelzeln, 1868"
"Aves Chordata Aves Passeriformes Thamnophilidae Biatas nigropectus (Lafresnaye, 1850) papo-branco","Biatas nigropectus (Lafresnaye, 1850)"
"Aves Chordata Aves Passeriformes Thamnophilidae Drymophila ochropyga (Hellmayr, 1906) choquinha-de-dorso-vermelho","Drymophila ochropyga (Hellmayr, 1906)"
"Aves Chordata Aves Passeriformes Melanopareiidae Melanopareia torquata (Wied, 1831) tapaculo-de-colarinho","Melanopareia torquata (Wied, 1831)"
"Aves Chordata Aves Passeriformes Scleruridae Sclerurus mexicanus Sclater, 1857 vira-folha-de-peito-vermelho","Sclerurus macconnelli Chubb, 1919"
"Aves Chordata Aves Passeriformes Scleruridae Geositta poeciloptera (Wied, 1830) Andarilho","Geositta poeciloptera (Wied, 1830)"
"Aves Chordata Aves Passeriformes Dendrocolaptidae Campylorhamphus trochilirostris (Lichtenstein, 1820) arapaçu-beija-flor","Campylorhamphus trochilirostris (Lichtenstein, 1820)"
"Aves Chordata Aves Passeriformes Furnariidae Phleocryptes melanops (Vieillot, 1817) bate-bico","Phleocryptes melanops (Vieillot, 1817)"
"Aves Chordata Aves Passeriformes Furnariidae Synallaxis hypospodia Sclater, 1874 joão-grilo","Synallaxis hypospodia Sclater, 1874"
"Aves Chordata Aves Passeriformes Furnariidae Synallaxis scutata Sclater, 1859 estrelinha-preta","Synallaxis scutata Sclater, 1859"
"Aves Chordata Aves Passeriformes Furnariidae Asthenes moreirae (Miranda-Ribeiro, 1906) garrincha-chorona","Asthenes moreirae (Miranda-Ribeiro, 1906)"
"Aves Chordata Aves Passeriformes Pipridae Neopelma pallescens (Lafresnaye, 1853) fruxu-do-cerradão","Neopelma pallescens (Lafresnaye, 1853)"
"Aves Chordata Aves Passeriformes Pipridae Pipra fasciicauda Hellmayr, 1906 uirapuru-laranja","Pipra fasciicauda Hellmayr, 1906"
"Aves Chordata Aves Passeriformes Tityridae Onychorhynchus swainsoni (Pelzeln, 1858) maria-leque-do-sudeste","Onychorhynchus swainsoni (Pelzeln, 1858)"
"Aves Chordata Aves Passeriformes Tityridae Laniisoma elegans (Thunberg, 1823) Chibante","Laniisoma elegans (Thunberg, 1823)"
"Aves Chordata Aves Passeriformes Tityridae Iodopleura pipra (Lesson, 1831) Anambezinho","Iodopleura pipra (Lesson, 1831)"
"Aves Chordata Aves Passeriformes Cotingidae Lipaugus lanioides (Lesson, 1844) tropeiro-da-serra","Lipaugus lanioides (Lesson, 1844)"
"Aves Chordata Aves Passeriformes Cotingidae Procnias nudicollis (Vieillot, 1817) Araponga","Procnias nudicollis (Vieillot, 1817)"
"Aves Chordata Aves Passeriformes Cotingidae Pyroderus scutatus (Shaw, 1792) Pavó","Pyroderus scutatus (Shaw, 1792)"
"Aves Chordata Aves Passeriformes Cotingidae Carpornis melanocephala (Wied, 1820) sabiá-pimenta","Carpornis melanocephala (Wied, 1820)"
"Aves Chordata Aves Passeriformes Incertae sedis Platyrinchus leucoryphus Wied, 1831 patinho-gigante","Platyrinchus leucoryphus Wied, 1831"
"Aves Chordata Aves Passeriformes Incertae sedis Piprites pileata (Temminck, 1822) caneleirinho-de-chapéu-preto","Piprites pileata (Temminck, 1822)"
"Aves Chordata Aves Passeriformes Rhynchocyclidae Phylloscartes eximius (Temminck, 1822) Barbudinho","Phylloscartes eximius (Temminck, 1822)"
"Aves Chordata Aves Passeriformes Rhynchocyclidae Phylloscartes kronei Willis & Oniki, 1992 maria-da-restinga","Phylloscartes kronei Willis & Oniki, 1992"
"Aves Chordata Aves Passeriformes Rhynchocyclidae Phylloscartes paulista Ihering & Ihering, 1907 não-pode-parar","Phylloscartes paulista Ihering & Ihering, 1907"
"Aves Chordata Aves Passeriformes Rhynchocyclidae Hemitriccus furcatus (Lafresnaye, 1846) papa-moscas-estrela","Hemitriccus furcatus (Lafresnaye, 1846)"
"Aves Chordata Aves Passeriformes Tyrannidae Euscarthmus rufomarginatus (Pelzeln, 1868) maria-corruíra","Euscarthmus rufomarginatus (Pelzeln, 1868)"
"Aves Chordata Aves Passeriformes Tyrannidae Elaenia cristata Pelzeln, 1868 guaracava-de-topete-uniforme","Elaenia cristata Pelzeln, 1868"
"Aves Chordata Aves Passeriformes Tyrannidae Suiriri suiriri (Vieillot, 1818) suiriri-cinzento","Suiriri suiriri (Vieillot, 1818)"
"Aves Chordata Aves Passeriformes Tyrannidae Myiopagis gaimardii (d’Orbigny, 1839) maria-pechim","Myiopagis gaimardii (d'Orbigny, 1839)"
"Aves Chordata Aves Passeriformes Tyrannidae Culicivora caudacuta (Vieillot, 1818) papa-moscas-do-campo","Culicivora caudacuta (Vieillot, 1818)"
"Aves Chordata Aves Passeriformes Tyrannidae Polystictus pectoralis (Vieillot, 1817) papa-moscas-canela","Polystictus pectoralis (Vieillot, 1817)"
"Aves Chordata Aves Passeriformes Tyrannidae Sublegatus modestus (Wied, 1831) guaracava-modesta","Sublegatus modestus (Wied, 1831)"
"Aves Chordata Aves Passeriformes Tyrannidae Alectrurus tricolor (Vieillot, 1816) Galito","Alectrurus tricolor (Vieillot, 1816)"
"Aves Chordata Aves Passeriformes Troglodytidae Cistothorus platensis (Latham, 1790) corruíra-do-campo","Cistothorus platensis (Latham, 1790)"
"Aves Chordata Aves Passeriformes Motacillidae Anthus nattereri Sclater, 1878 caminheiro-grande","Anthus nattereri Sclater, 1878"
"Aves Chordata Aves Passeriformes Thraupidae Saltatricula atricollis (Vieillot, 1817) bico-de-pimenta","Saltatricula atricollis (Vieillot, 1817)"
"Aves Chordata Aves Passeriformes Thraupidae Cypsnagra hirundinacea (Lesson, 1831) Bandoleta","Cypsnagra hirundinacea (Lesson, 1831)"
"Aves Chordata Aves Passeriformes Thraupidae Tachyphonus rufus (Boddaert, 1783) pipira-preta","Tachyphonus rufus (Boddaert, 1783)"
"Aves Chordata Aves Passeriformes Thraupidae Lanio penicillatus (Spix, 1825) pipira-da-taoca","Eucometis penicillata (Spix, 1825)"
"Aves Chordata Aves Passeriformes Thraupidae Tangara peruviana (Desmarest, 1806) saíra-sapucaia","Stilpnia peruviana (Desmarest, 1806)"
"Aves Chordata Aves Passeriformes Thraupidae Neothraupis fasciata (Lichtenstein, 1823) cigarra-do-campo","Neothraupis fasciata (Lichtenstein, 1823)"
"Aves Chordata Aves Passeriformes Thraupidae Schistochlamys melanopis (Latham, 1790) sanhaçu-de-coleira","Schistochlamys melanopis (Latham, 1790)"
"Aves Chordata Aves Passeriformes Thraupidae Dacnis nigripes Pelzeln, 1856 saí-de-pernas-pretas","Dacnis nigripes Pelzeln, 1856"
"Aves Chordata Aves Passeriformes Thraupidae Conirostrum bicolor (Vieillot, 1809) figuinha-do-mangue","Conirostrum bicolor (Vieillot, 1809)"
"Aves Chordata Aves Passeriformes Emberizidae Donacospiza albifrons (Vieillot, 1817) tico-tico-do-banhado","Donacospiza albifrons (Vieillot, 1817)"
"Aves Chordata Aves Passeriformes Emberizidae Poospiza cinerea Bonaparte, 1850 capacetinho-do-oco-do-pau","Microspingus cinereus Bonaparte, 1850"
"Aves Chordata Aves Passeriformes Emberizidae Emberizoides ypiranganus Ihering & Ihering, 1907 canário-do-brejo","Emberizoides ypiranganus Ihering & Ihering, 1907"
"Aves Chordata Aves Passeriformes Emberizidae Embernagra platensis (Gmelin, 1789) sabiá-do-banhado","Embernagra platensis (Gmelin, 1789)"
"Aves Chordata Aves Passeriformes Emberizidae Sporophila frontalis (Verreaux, 1869) Pixoxó","Sporophila frontalis (Verreaux, 1869)"
"Aves Chordata Aves Passeriformes Emberizidae Sporophila falcirostris (Temminck, 1820) cigarra-verdadeira","Sporophila falcirostris (Temminck, 1820)"
"Aves Chordata Aves Passeriformes Emberizidae Sporophila plumbea (Wied, 1830) Patativa","Sporophila plumbea (Wied, 1830)"
"Aves Chordata Aves Passeriformes Emberizidae Sporophila bouvreuil (Statius Muller, 1776) Caboclinho","Sporophila bouvreuil (Statius Muller, 1776)"
"Aves Chordata Aves Passeriformes Emberizidae Sporophila pileata (Sclater, 1864) caboclinho-coroado","Sporophila pileata (Sclater, 1865)"
"Aves Chordata Aves Passeriformes Emberizidae Sporophila hypoxantha Cabanis, 1851 caboclinho-de-barriga-vermelha","Sporophila hypoxantha Cabanis, 1851"
"Aves Chordata Aves Passeriformes Emberizidae Sporophila ruficollis Cabanis, 1851 caboclinho-de-papo-escuro","Sporophila ruficollis Cabanis, 1851"
"Aves Chordata Aves Passeriformes Emberizidae Sporophila palustris (Barrows, 1883) caboclinho-de-papo-branco","Sporophila palustris (Barrows, 1883)"
"Aves Chordata Aves Passeriformes Emberizidae Sporophila cinnamomea (Lafresnaye, 1839) caboclinho-de-chapéu-cinzento","Sporophila cinnamomea (Lafresnaye, 1839)"
"Aves Chordata Aves Passeriformes Emberizidae Sporophila melanogaster (Pelzeln, 1870) caboclinho-de-barriga-preta","Sporophila melanogaster (Pelzeln, 1870)"
"Aves Chordata Aves Passeriformes Emberizidae Sporophila angolensis (Linnaeus, 1766) Curió","Sporophila angolensis (Linnaeus, 1766)"
"Aves Chordata Aves Passeriformes Emberizidae Sporophila maximiliani (Cabanis, 1851) Bicudo","Sporophila maximiliani (Cabanis, 1851)"
"Aves Chordata Aves Passeriformes Emberizidae Charitospiza eucosma Oberholser, 1905 Mineirinho","Charitospiza eucosma Oberholser, 1905"
"Aves Chordata Aves Passeriformes Emberizidae Coryphaspiza melanotis (Temminck, 1822) tico-tico-de-máscara-negra","Coryphaspiza melanotis (Temminck, 1822)"
"Aves Chordata Aves Passeriformes Cardinalidae Cyanoloxia moesta (Hartlaub, 1853) negrinho-do-mato","Amaurospiza moesta (Hartlaub, 1853)"
"Aves Chordata Aves Passeriformes Cardinalidae Cyanoloxia brissonii (Lichtenstein, 1823) Azulão","Cyanoloxia brissonii (Lichtenstein, 1823)"
"Aves Chordata Aves Passeriformes Parulidae Basileuterus leucophrys Pelzeln, 1868 pula-pula-de-sobrancelha","Myiothlypis leucophrys (Pelzeln, 1868)"
"Aves Chordata Aves Passeriformes Fringillidae Euphonia chalybea (Mikan, 1825) cais-cais","Euphonia chalybea (Mikan, 1825)"
